상권_코드,상권_코드_명,상권유형,residual_latest,pred_latest,y_log_latest,매출_latest,찻집수_latest,residual_avg,residual_std,n_quarters,supply_shortage,residual_consistent,blueocean_candidate
3130318,로데오거리상점가,전통시장,1.3801089432121607,18.855698736647806,20.235807679859967,614185574,1,1.418317647040651,0.054800936476064765,9,0.5,False,False
3110731,금천구청역 1번 출입구,골목상권,1.3849997959317975,17.92638940617322,19.31138920210502,243685544,0,1.5936997732218154,0.15203839783684645,9,1.0,False,False
3110660,등촌3동주민센터,골목상권,1.396441208652547,18.378240236737426,19.774681445389973,387288884,0,1.4758411652825798,0.08812408533428598,9,1.0,False,False
3120238,방이역,발달상권,1.4021462147919266,20.02280806307607,21.424954277867997,2017155681,0,1.2458233508673342,0.09729340457504802,9,1.0,False,False
3130235,대명여울빛거리시장(대명시장),전통시장,1.424236140056582,18.246507017745188,19.67074315780177,349056080,0,1.386762409112137,0.13727569151396488,9,1.0,False,False
3111053,성내천어린이공원(하니사랑길),골목상권,1.432772051016478,18.09145518172558,19.524227232742057,301483917,0,1.5092779165011099,0.06549760860277536,9,1.0,False,False
3120020,시청역_1번,발달상권,1.4333058674221597,19.661995123702557,21.095300991124716,1450683977,1,1.4687510309311245,0.0745992482555218,9,0.5,False,False
3110096,한남힐사이드아파트,골목상권,1.4388794402206067,18.194126959659663,19.63300639988027,336129277,0,1.3271126301961058,0.06318510527223097,9,1.0,False,False
3120051,뚝섬역,발달상권,1.451587631967442,20.542757761025744,21.994345392993186,3564698777,0,1.4969068544061623,0.12082390155972669,9,1.0,False,False
3110714,구로4동주민센터,골목상권,1.4708696670354122,18.032624816457847,19.50349448349326,295297677,0,1.4669288324851866,0.0919783975850773,9,1.0,False,False
3111089,상일여고(상일초등학교),골목상권,1.4793120745926416,17.88538740625838,19.364699480851023,257029000,2,1.1818663120115598,0.20825521773871686,9,0.3333333333333333,False,False
3110317,종암중학교,골목상권,1.4859936105818683,18.012186116578945,19.498179727160814,293732405,0,1.696804932998969,0.1384887672554962,9,1.0,False,False
3110998,은곡마을(은곡마을공원),골목상권,1.49612100242895,18.39031752179241,19.88643852422136,433082380,0,1.7161698376986263,0.11917530529232861,9,1.0,False,False
3130036,중부시장(신중부시장),전통시장,1.5028833497915457,18.297784453506587,19.800667803298133,397485018,1,1.367850474061659,0.2564948755532693,9,0.5,False,False
3110578,대흥역 2번,골목상권,1.517300564059905,18.146903159439244,19.66420372349915,346780898,0,1.592418577100909,0.16612507046980632,9,1.0,False,False
3120031,을지로3가역,발달상권,1.5383592064097336,20.95749728109942,22.495856487509155,5886082408,0,1.529428584648716,0.1014618971081477,9,1.0,False,False
3110435,서울과학기술대,골목상권,1.5449943270625681,17.626577853817107,19.171572180879675,211888802,0,1.6642142682171175,0.13226250439046358,9,1.0,False,False
3110655,발산역 5번,골목상권,1.553035664305149,18.275233658520314,19.828269322825463,408609022,0,1.5266708927264407,0.11303330857049171,9,1.0,False,False
3110415,수락산역 4번,골목상권,1.554875674357909,18.375472864269955,19.930348538627864,452522723,0,1.6108879130110825,0.055756471223233434,9,1.0,False,False
3110421,석계역 1번,골목상권,1.5625399968414584,17.9905267582849,19.55306675512636,310305158,0,1.442379626270779,0.11237933798111784,9,1.0,False,False
